Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|Q9CR61|NDUB7_MOUSE	Q9CR61	NDUB7_MOUSE	Ndufb7	137	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	46	46	46	67966430	67966430	67966430	10C(57.0214), 10K(229.1629), 11K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 27K(229.1629), 3C(57.0214), 9C(57.0214), N-term(229.1629)			2618235.3499	2557676.1941	2290281.4983	2710412.9439	3594043.8848	3333795.4069	2621077.9150	2333201.7658	2365711.9318	2303743.7223
sp|Q9CR62|M2OM_MOUSE	Q9CR62	M2OM_MOUSE	Slc25a11	314	Mus musculus OX=10090	Mitochondrial 2-oxoglutarate/malate carrier protein 	1:Experimental evidence at protein level	1.0000	0.9990	20	20	20	118	118	118	154438876	154438876	154438876	11K(229.1629), 11S(229.1629), 14K(229.1629), 15M(15.9949), 16K(229.1629), 17K(229.1629), 1M(15.9949), 22K(229.1629), 2C(57.0214), 2S(229.1629), 4S(229.1629), 5K(229.1629), 5M(15.9949), 6M(15.9949), 7S(229.1629), 8K(229.1629), 8S(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			16053686.9162	14139032.5672	13496252.1933	14606876.9176	16385105.2007	17350206.0891	13164566.3544	10570740.1403	10464950.4248	12117236.5312
sp|Q9CR68|UCRI_MOUSE	Q9CR68	UCRI_MOUSE	Uqcrfs1	274	Mus musculus OX=10090	Cytochrome b-c1 complex subunit Rieske, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	20	20	20	152	152	152	287584032	287584032	287584032	10M(15.9949), 11S(229.1629), 19M(15.9949), 1K(229.1629), 20K(229.1629), 21K(229.1629), 26K(229.1629), 2K(229.1629), 2S(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			20474035.5746	19433448.4197	17786265.7096	15522737.8102	21817229.9294	20000437.9767	16497942.1967	13867790.3846	12586078.9185	12174316.8926
sp|Q9CR86|CHSP1_MOUSE	Q9CR86	CHSP1_MOUSE	Carhsp1	148	Mus musculus OX=10090	Calcium-regulated heat stable protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	2157817	2157817	2157817	16K(229.1629), 19S(229.1629), 36K(229.1629), 8K(229.1629), N-term(229.1629)			179042.7802	154135.1690	140911.7606	137003.8289	229016.4785	139267.4478	164687.4188	149162.7943	134634.4588	137560.7938
sp|Q9CR98|F136A_MOUSE	Q9CR98	F136A_MOUSE	Fam136a	138	Mus musculus OX=10090	Protein FAM136A 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	10054862	10054862	10054862	10K(229.1629), 12S(229.1629), 13M(15.9949), 19C(57.0214), 1C(57.0214), 3M(15.9949), 5C(57.0214), 6C(57.0214), 8K(229.1629), 8M(15.9949), N-term(229.1629), N-term(42.0106)			525861.5502	542912.7981	420634.6093	268365.3857	499839.2246	379052.9506	386961.9614	343950.8924	282017.0228	294187.6604
sp|Q9CRA5|GOLP3_MOUSE	Q9CRA5	GOLP3_MOUSE	Golph3	298	Mus musculus OX=10090	Golgi phosphoprotein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	6	5	6	1945777	1945777	1945777	11C(57.0214), 13K(229.1629), 15K(229.1629), 4M(15.9949), 7K(229.1629), N-term(229.1629)			207223.7504	197064.6007	157989.2610	182801.4793	240888.3154	197285.6410	246439.9586	190699.8586	222016.7808	205884.0731
sp|Q9CRA7|ATP5S_MOUSE	Q9CRA7	ATP5S_MOUSE	Dmac2l	200	Mus musculus OX=10090	ATP synthase subunit s, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	2867818	2867818	2867818	11K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			231472.1612	184235.7569	166210.2767	208111.7400	277477.7290	241778.2993	267516.9347	241951.9875	223817.4604	234532.0338
sp|Q9CRB6|TPPP3_MOUSE	Q9CRB6	TPPP3_MOUSE	Tppp3	176	Mus musculus OX=10090	Tubulin polymerization-promoting protein family member 3 	1:Experimental evidence at protein level	1.0000	0.9990	14	13	14	41	39	41	35068414	35068414	35068414	10C(57.0214), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 25K(229.1629), 2K(229.1629), 6M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			6408023.0559	4958554.9510	3787543.4167	3541876.3708	4985792.0459	3828383.6752	3674529.0813	3232577.8090	3204953.8015	3545254.4744
sp|Q9CRB8|MTFP1_MOUSE	Q9CRB8	MTFP1_MOUSE	Mtfp1	166	Mus musculus OX=10090	Mitochondrial fission process protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	14	14	14	9915370	9915370	9915370	12K(229.1629), 1K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1629)			1140123.4513	1105237.1766	930977.9555	906085.0232	1223891.1582	1277858.1412	1163147.1358	974592.6501	772901.4351	945668.5872
sp|Q9CRB9|MIC19_MOUSE	Q9CRB9	MIC19_MOUSE	Chchd3	227	Mus musculus OX=10090	MIC	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	70	70	70	255216064	255216064	255216064	10K(229.1629), 10S(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 14S(229.1629), 15K(229.1629), 16K(229.1629), 17M(15.9949), 19C(57.0214), 1K(229.1629), 24K(229.1629), 2K(229.1629), 3S(229.1629), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9C(57.0214), N-term(229.1629)			11114740.1141	12292554.7951	9355290.0933	7736757.6162	11828719.8818	10565770.5011	9185557.9191	7407555.4809	6947933.1275	6664285.5783
sp|Q9CRD0|OCAD1_MOUSE	Q9CRD0	OCAD1_MOUSE	Ociad1	247	Mus musculus OX=10090	OCIA domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	9	2	9	6021646	2713898	6021646	10K(229.1629), 18K(229.1629), 1K(229.1629), 22K(229.1629), 2S(229.1629), 4S(229.1629), 5C(57.0214), 8K(229.1629), 9C(57.0214), 9M(15.9949), N-term(229.1629)			347402.0497	318780.3048	283127.2714	310218.4233	457942.2734	385826.7836	417430.6197	326281.9844	363583.9308	315335.1133
sp|Q9CRD2|EMC2_MOUSE	Q9CRD2	EMC2_MOUSE	Emc2	297	Mus musculus OX=10090	ER membrane protein complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	9	9	9	7580217	7580217	7580217	1K(229.1629), 8K(229.1629), N-term(229.1629)			580206.3775	741696.5687	590431.8934	577258.3923	762924.6221	687978.2095	666557.3195	590366.5701	616206.3305	572197.3282
sp|Q9CRY7|GDPD1_MOUSE	Q9CRY7	GDPD1_MOUSE	Gdpd1	314	Mus musculus OX=10090	Lysophospholipase D GDPD1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	5338437	5338437	5338437	10K(229.1629), 16K(229.1629), 1K(229.1629), 2C(57.0214), 7K(229.1629), 9C(57.0214), N-term(229.1629)			310497.2634	282952.0348	244777.2889	315458.6606	377159.8516	323439.8817	400530.0574	312906.4346	325819.0923	346611.8351
sp|Q9CS72|FLIP1_MOUSE	Q9CS72	FLIP1_MOUSE	Filip1	1211	Mus musculus OX=10090	Filamin-A-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	8	7	8	3400399	1633310	3400399	10K(229.1629), 12K(229.1629), 4C(57.0214), 6M(15.9949), 7K(229.1629), 8K(229.1629), N-term(229.1629)			205322.3540	275158.0482	175264.9943	192481.7928	283926.9668	214901.3250	282581.9014	246365.9040	255678.3246	236402.6448
sp|Q9CVB6|ARPC2_MOUSE	Q9CVB6	ARPC2_MOUSE	Arpc2	300	Mus musculus OX=10090	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	33	33	33	48782847	48782847	48782847	10K(229.1629), 11K(229.1629), 12K(229.1629), 28S(229.1629), 2C(57.0214), 2S(229.1629), 34K(229.1629), 3M(15.9949), 5M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629)			3291697.1373	3311694.1197	2643197.3562	2696717.7910	4106539.8740	3222780.4615	3691988.7753	2846749.4459	2896103.7758	2755137.7214
sp|Q9CWE0|MFR1L_MOUSE	Q9CWE0	MFR1L_MOUSE	Mtfr1l	289	Mus musculus OX=10090	Mitochondrial fission regulator 1-like 	1:Experimental evidence at protein level	1.0000	0.9990	9	6	9	10	7	10	6122897	4959575	6122897	10C(57.0214), 11C(57.0214), 13C(57.0214), 15K(229.1629), 16K(229.1629), 1K(229.1629), 3C(57.0214), 4K(229.1629), 8K(229.1629), N-term(229.1629)			395388.4825	366511.1043	327712.9964	359102.2516	502342.9365	415545.8513	399086.6937	318838.0031	355935.3476	343769.8794
sp|Q9CWG8|NDUF7_MOUSE	Q9CWG8	NDUF7_MOUSE	Ndufaf7	436	Mus musculus OX=10090	Protein arginine methyltransferase NDUFAF7, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	3	1	3	2151373	367706	2151373	15K(229.1629), 19K(229.1629), 6C(57.0214), 9M(15.9949), N-term(229.1629)			154885.5619	182926.6008	133699.5208	267752.5393	247920.5059	206060.8253	275309.8997	277071.8409	228507.0014	284936.5994
sp|Q9CWJ9|PUR9_MOUSE	Q9CWJ9	PUR9_MOUSE	Atic	592	Mus musculus OX=10090	Bifunctional purine biosynthesis protein ATIC 	1:Experimental evidence at protein level	1.0000	0.9990	31	31	31	92	92	92	46097804	46097804	46097804	10K(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 13K(229.1629), 14C(57.0214), 14K(229.1629), 16K(229.1629), 17K(229.1629), 17M(15.9949), 18K(229.1629), 1M(15.9949), 20K(229.1629), 20S(229.1629), 23K(229.1629), 24K(229.1629), 2C(57.0214), 2S(229.1629), 3M(15.9949), 3S(229.1629), 4C(57.0214), 5C(57.0214), 5M(15.9949), 6C(57.0214), 8C(57.0214), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629)			6077387.2188	6395604.0762	5118568.9236	5290064.7549	7852681.6279	6333649.8944	6038999.8234	5220072.2313	5819396.6357	4879090.5066
sp|Q9CWK8|SNX2_MOUSE	Q9CWK8	SNX2_MOUSE	Snx2	519	Mus musculus OX=10090	Sorting nexin-2 	1:Experimental evidence at protein level	1.0000	0.9990	11	9	11	17	14	17	6803604	6041913	6803604	10K(229.1629), 11K(229.1629), 14K(229.1629), 2S(229.1629), 3K(229.1629), N-term(229.1629)			689244.2097	612618.2668	453610.1233	589645.4193	804575.6050	608521.7755	780500.7943	642704.1579	655178.5085	635908.9826
sp|Q9CWM4|PFD1_MOUSE	Q9CWM4	PFD1_MOUSE	Pfdn1	122	Mus musculus OX=10090	Prefoldin subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	10	10	10	7030657	7030657	7030657	10K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1629)			536528.6462	681296.3850	488072.6636	455665.6694	649046.0498	562621.2108	553638.1765	476596.5394	516350.2579	448241.2706
sp|Q9CWS0|DDAH1_MOUSE	Q9CWS0	DDAH1_MOUSE	Ddah1	285	Mus musculus OX=10090	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	10	11	22	18	22	17317252	12942740	17317252	10K(229.1629), 11C(57.0214), 12K(229.1629), 12S(229.1629), 14M(15.9949), 16K(229.1629), 19K(229.1629), 21K(229.1629), 2K(229.1629), 3C(57.0214), 5M(15.9949), 7S(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1629), N-term(42.0106)			2212944.5640	2246491.5414	1860587.2515	1789723.0346	2273565.5986	1639650.7593	1823156.6375	1471303.3103	1343114.9987	1401479.3546
sp|Q9CWU6|UQCC1_MOUSE	Q9CWU6	UQCC1_MOUSE	Uqcc1	295	Mus musculus OX=10090	Ubiquinol-cytochrome-c reductase complex assembly factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	5	2	5	3284282	901659	3284282	4S(229.1629), 7K(229.1629), N-term(229.1629)			251635.7495	204998.2941	195420.4543	238758.6202	272763.1211	273252.9949	294920.4720	226143.1784	242106.5311	235504.1545
sp|Q9CWW6|PIN4_MOUSE	Q9CWW6	PIN4_MOUSE	Pin4	131	Mus musculus OX=10090	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	12	12	12	13782415	13782415	13782415	12K(229.1629), 13K(229.1629), 19M(15.9949), 21K(229.1629), 2M(15.9949), 30K(229.1629), 3M(15.9949), 5M(15.9949), 7K(229.1629), N-term(229.1629)			1369660.2135	1756901.5074	1139955.1610	716737.1990	1546830.1987	1176150.7666	983803.7664	802713.4471	913146.6832	626106.4201
sp|Q9CWX2|CIA30_MOUSE	Q9CWX2	CIA30_MOUSE	Ndufaf1	328	Mus musculus OX=10090	Complex I intermediate-associated protein 30, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	8	8	8	27706406	27706406	27706406	11K(229.1629), 19K(229.1629), 5C(57.0214), 7M(15.9949), N-term(229.1629)			512373.6140	544307.9866	407208.5743	425346.3185	540117.1357	505796.2897	508627.5357	426347.1383	446197.0465	404245.2534
sp|Q9CWZ3|RBM8A_MOUSE	Q9CWZ3	RBM8A_MOUSE	Rbm8a	174	Mus musculus OX=10090	RNA-binding protein 8A 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	4	1	4	3467107	1430625	3467107	11K(229.1629), 16M(15.9949), 1M(15.9949), 23S(229.1629), 26K(229.1629), 7S(229.1629), N-term(229.1629), N-term(42.0106)			191937.7485	167429.1509	159928.6551	152010.2455	227371.6460	186256.0157	210846.8404	187415.5824	182365.1929	176417.3889
sp|Q9CWZ7|SNAG_MOUSE	Q9CWZ7	SNAG_MOUSE	Napg	312	Mus musculus OX=10090	Gamma-soluble NSF attachment protein 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	23	23	23	7044370	7044370	7044370	10K(229.1629), 13K(229.1629), 14K(229.1629), 2K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			537299.3185	539370.2561	416790.8695	505912.1802	653758.8711	510286.5489	609963.6486	504644.2893	549597.1887	476187.4429
sp|Q9CX34|SGT1_MOUSE	Q9CX34	SGT1_MOUSE	Sugt1	336	Mus musculus OX=10090	Protein SGT1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	19	19	19	43	43	43	14936512	14936512	14936512	10K(229.1629), 10S(229.1629), 11K(229.1629), 13C(57.0214), 13K(229.1629), 14K(229.1629), 1C(57.0214), 1K(229.1629), 23K(229.1629), 3C(57.0214), 4C(57.0214), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629), N-term(42.0106)			3030637.6689	3492682.9469	2649581.4672	2797328.1109	3917181.0989	3365802.7696	3719811.7555	3054015.1195	3333765.9215	2997522.1047
sp|Q9CX56|PSMD8_MOUSE	Q9CX56	PSMD8_MOUSE	Psmd8	353	Mus musculus OX=10090	26S proteasome non-ATPase regulatory subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	27	27	27	38072070	38072070	38072070	10M(15.9949), 15K(229.1629), 16K(229.1629), 18K(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 2M(15.9949), 31K(229.1629), 4S(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			2851889.3543	3413403.2322	2280300.3622	2373002.2178	3591980.1853	3007390.1357	2738412.4871	2287235.3368	2532301.9931	2062663.2575
sp|Q9CX86|ROA0_MOUSE	Q9CX86	ROA0_MOUSE	Hnrnpa0	305	Mus musculus OX=10090	Heterogeneous nuclear ribonucleoprotein A0 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	8	8	8	16139579	16139579	16139579	12C(57.0214), 13S(229.1629), 15K(229.1629), 20K(229.1629), 21K(229.1629), 7K(229.1629), N-term(229.1629)			531794.4477	459674.7330	377706.6588	411327.0041	738885.5288	542538.9632	534882.3323	456247.0142	479971.0943	376778.7623
sp|Q9CXD6-3|MCUR1_MOUSE	Q9CXD6-3	MCUR1_MOUSE	Mcur1	160	Mus musculus OX=10090	Isoform 3 of Mitochondrial calcium uniporter regulator 1 		1.0000	0.9990	3	0	3	5	0	5	3607202	     0	3607202	10K(229.1629), 1K(229.1629), 2K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)		sp|Q9CXD6|MCUR1_MOUSE	249101.3830	248130.6092	197700.7055	206795.3377	252236.5371	263493.9422	285350.8776	245426.2475	202363.9807	247275.3442
sp|Q9CXE7|TMED5_MOUSE	Q9CXE7	TMED5_MOUSE	Tmed5	229	Mus musculus OX=10090	Transmembrane emp24 domain-containing protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	6887210	6887210	6887210	10K(229.1629), 10M(15.9949), 11K(229.1629), 12K(229.1629), 2C(57.0214), 7M(15.9949), N-term(229.1629)			263031.4079	263921.5063	239680.2701	272758.5154	347546.3877	328572.2759	344568.9208	278963.2105	319330.3604	299833.9038
sp|Q9CXF4|TBC15_MOUSE	Q9CXF4	TBC15_MOUSE	Tbc1d15	671	Mus musculus OX=10090	TBC1 domain family member 15 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	13667633	13667633	13667633	12K(229.1629), 13S(229.1629), 14C(57.0214), 16K(229.1629), 5C(57.0214), N-term(229.1629)			202847.7052	230158.9637	171378.6172	206812.3197	274964.2832	234893.2438	276683.1469	237496.0961	254133.5571	226478.5388
sp|Q9CXI0|COQ5_MOUSE	Q9CXI0	COQ5_MOUSE	Coq5	327	Mus musculus OX=10090	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	25	25	25	30535997	30535997	30535997	10K(229.1629), 12S(229.1629), 16C(57.0214), 16K(229.1629), 17C(57.0214), 18K(229.1629), 1K(229.1629), 2M(15.9949), 3K(229.1629), 9K(229.1629), N-term(229.1629)			1948486.1607	2043663.7896	1743917.3887	1599894.8137	2269273.5723	2109533.8015	1826988.9342	1541121.9614	1496007.7858	1519238.2168
sp|Q9CXI5|MANF_MOUSE	Q9CXI5	MANF_MOUSE	Manf	179	Mus musculus OX=10090	Mesencephalic astrocyte-derived neurotrophic factor 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	10	10	10	12335022	11098066	11098066	10K(229.1629), 15K(229.1629), 17K(229.1629), 5M(15.9949), 6S(229.1629), 7K(229.1629), 8M(15.9949), 9C(57.0214), N-term(229.1629)			779745.6704	495761.0879	515579.3306	517357.4829	795928.8623	557064.3153	664723.6527	490105.1465	522063.7844	457910.0177
sp|Q9CXJ4|MITOS_MOUSE	Q9CXJ4	MITOS_MOUSE	Abcb8	717	Mus musculus OX=10090	Mitochondrial potassium channel ATP-binding subunit 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	20	20	20	8309835	8309835	8309835	12K(229.1629), 2C(57.0214), 9K(229.1629), N-term(229.1629)			1042019.2252	1128694.5317	883861.4752	864338.7027	1218939.8623	1173543.9287	1015178.7416	897187.4089	804806.6276	827171.2734
sp|Q9CXR1|DHRS7_MOUSE	Q9CXR1	DHRS7_MOUSE	Dhrs7	338	Mus musculus OX=10090	Dehydrogenase/reductase SDR family member 7 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	4736722	4736722	4736722	13S(229.1629), 20K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			540753.7351	571366.0243	478178.8085	476556.2628	618477.1719	550999.7647	584303.1418	481630.4211	493660.4308	524661.6703
sp|Q9CXS4|CENPV_MOUSE	Q9CXS4	CENPV_MOUSE	Cenpv	252	Mus musculus OX=10090	Centromere protein V 	1:Experimental evidence at protein level	1.0000	0.9990	9	7	9	17	14	17	18996886	16601134	18996886	12C(57.0214), 13K(229.1629), 17K(229.1629), 6C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1629)			1350384.9466	1364358.8241	1079995.4151	1069235.0573	1625539.6938	1460220.7681	1194611.2933	934434.9353	1001942.4588	854933.6439
sp|Q9CXT8|MPPB_MOUSE	Q9CXT8	MPPB_MOUSE	Pmpcb	489	Mus musculus OX=10090	Mitochondrial-processing peptidase subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	25	25	25	440931056	8483534	8483534	10K(229.1629), 11K(229.1629), 11M(15.9949), 14C(57.0214), 19C(57.0214), 3M(15.9949), 4C(57.0214), 6S(229.1629), 8C(57.0214), N-term(229.1629)			981891.7123	936992.8043	842310.0092	857162.6144	1181434.1157	1086954.9615	1275168.1014	1030723.5586	1065583.2408	1064790.9758
sp|Q9CXW2|RT22_MOUSE	Q9CXW2	RT22_MOUSE	Mrps22	359	Mus musculus OX=10090	28S ribosomal protein S22, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	14	14	14	5745315	5092080	5745315	11K(229.1629), 13K(229.1629), 14K(229.1629), 1K(229.1629), 21K(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1629)			593968.0886	570747.1958	476164.7141	499024.9387	688793.1240	588140.5108	601782.9556	547971.7928	524776.5145	554403.7302
sp|Q9CXW3|CYBP_MOUSE	Q9CXW3	CYBP_MOUSE	Cacybp	229	Mus musculus OX=10090	Calcyclin-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	13	13	13	8290873	8290873	8290873	10C(57.0214), 1K(229.1629), 23K(229.1629), 2K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			837896.2670	888805.9751	663440.2785	705197.4031	941690.2637	789862.1485	905665.2090	745503.7314	682390.1561	718837.1468
sp|Q9CXW4|RL11_MOUSE	Q9CXW4	RL11_MOUSE	Rpl11	178	Mus musculus OX=10090	60S ribosomal protein L11 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	25	25	25	36429399	34936802	36429399	14K(229.1629), 1K(229.1629), 2C(57.0214), 3C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			1464969.9446	1589183.3973	1095475.0202	1272429.7920	1798222.6775	1574704.3817	1729242.7703	1409706.1987	1501763.9553	1306341.7158
sp|Q9CXY6|ILF2_MOUSE	Q9CXY6	ILF2_MOUSE	Ilf2	390	Mus musculus OX=10090	Interleukin enhancer-binding factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	4829653	4829653	4829653	14K(229.1629), 16K(229.1629), 2K(229.1629), 4K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			442668.8808	485471.4907	377942.7335	394156.1791	536159.2676	445422.1452	477008.8332	371988.0157	391080.0428	369708.7655
sp|Q9CXZ1|NDUS4_MOUSE	Q9CXZ1	NDUS4_MOUSE	Ndufs4	175	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	60	60	60	392666016	392666016	392666016	10K(229.1629), 11K(229.1629), 12K(229.1629), 15K(229.1629), 18M(15.9949), 25K(229.1629), 3M(15.9949), 6M(15.9949), 9K(229.1629), N-term(229.1629)			10015957.3957	10353148.3671	9105274.2839	6961982.2580	10209076.5376	9722607.4034	6653386.1938	5942919.8144	5205855.9637	5299399.3840
sp|Q9CY16|RT28_MOUSE	Q9CY16	RT28_MOUSE	Mrps28	186	Mus musculus OX=10090	28S ribosomal protein S28, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	7081643	7081643	7081643	8K(229.1629), N-term(229.1629)			288949.2795	297383.0656	239006.0029	196986.2405	292573.8730	276221.5681	250928.0290	216598.0301	187575.4452	193217.8591
sp|Q9CY27|TECR_MOUSE	Q9CY27	TECR_MOUSE	Tecr	308	Mus musculus OX=10090	Very-long-chain enoyl-CoA reductase 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	45	45	45	220601632	220601632	220601632	10C(57.0214), 10K(229.1629), 11K(229.1629), 12S(229.1629), 17K(229.1629), 1K(229.1629), 1M(15.9949), 2C(57.0214), 2S(229.1629), 3K(229.1629), 6K(229.1629), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9M(15.9949), N-term(229.1629)			11763744.7987	15931139.3619	10039220.5505	10936198.9436	15117452.0798	12779953.4996	10365640.3888	7689789.9793	9871244.6930	6408495.8698
sp|Q9CY34|UB2FA_MOUSE	Q9CY34	UB2FA_MOUSE	Ube2f	185	Mus musculus OX=10090	NEDD8-conjugating enzyme UBE2F 	1:Experimental evidence at protein level	1.0000	0.9990	7	5	7	9	7	9	7466838	6174347	7466838	11C(57.0214), 13C(57.0214), 14K(229.1629), 17K(229.1629), 19K(229.1629), 2K(229.1629), 3C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1629), N-term(42.0106)			413930.0674	495349.9028	391424.1031	415311.3411	512351.7515	501951.9576	547886.4800	456431.4431	467580.4863	469177.0689
sp|Q9CY45|EFMT1_MOUSE	Q9CY45	EFMT1_MOUSE	Eef1akmt1	214	Mus musculus OX=10090	EEF1A lysine methyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	4750282	4750282	4750282	20C(57.0214), N-term(229.1629)			152766.3366	188141.7751	137837.8764	156594.5340	215526.7710	157930.8286	166138.0932	144572.1517	169087.1639	134277.1906
